state_code,state,gender,post_code,force,area,category,category_code,vacancies,initial,current,allocated,left_vacancy,allocated_hc,allocated_hc_prev,key,min_marks_prev,min_marks_parta_prev,min_marks_partb_prev,min_marks_cand_dob_prev,min_marks,min_marks_parta,min_marks_partb,min_marks_cand_dob,min_marks_merit,total_marks,parta_gi,partb_ga,dob,merit
1,Andaman & Nikobar,2,A,BSF,G,OBC,6,1,1,1,0,1,0,0,12AG6,,,,,,,,,,,,,,
1,Andaman & Nikobar,2,A,BSF,G,UR,9,2,2,2,0,2,0,0,12AG9,108.00705,33.5,11.5,2002-10-19,,,,,,,,,,
1,Andaman & Nikobar,2,B,CISF,G,OBC,6,2,2,2,0,2,0,0,12BG6,,,,,,,,,,,,,,
1,Andaman & Nikobar,2,B,CISF,G,UR,9,1,1,1,1,0,0,0,12BG9,108.00705,33.5,11.5,2002-10-19,108.00705,33.5,11.5,2002-10-19,28182.0,108.00705,33.5,11.5,2002-10-19,28182.0
1,Andaman & Nikobar,2,C,CRPF,G,OBC,6,1,1,1,0,1,0,0,12CG6,,,,,,,,,,,,,,
1,Andaman & Nikobar,2,C,CRPF,G,UR,9,1,1,1,0,1,0,0,12CG9,108.00705,33.5,11.5,2002-10-19,,,,,,,,,,
1,Andaman & Nikobar,2,D,SSB,G,UR,9,1,1,1,0,1,0,0,12DG9,108.00705,33.5,11.5,2002-10-19,,,,,,,,,,
10,Delhi,1,A,BSF,G,EWS,0,2,2,2,2,0,0,0,101AG0,111.90934,37.75,12.25,2004-05-09,121.01487,38.0,15.0,2004-01-10,18662.0,121.01487,38.0,15.0,2004-01-10,18662.0
10,Delhi,1,A,BSF,G,SC,1,2,2,2,1,1,0,0,101AG1,121.08597,37.75,15.5,1999-07-14,122.31271,31.5,18.5,2000-07-27,17582.0,122.31271,31.5,18.5,2000-07-27,17582.0
10,Delhi,1,A,BSF,G,ST,2,1,1,1,1,0,0,0,101AG2,112.42111,35.5,12.5,1997-09-07,112.42111,35.5,12.5,1997-09-07,24787.0,112.42111,35.5,12.5,1997-09-07,24787.0
10,Delhi,1,A,BSF,G,ESM,3,2,2,2,0,2,0,0,101AG3,,,,,,,,,,,,,,
10,Delhi,1,A,BSF,G,OBC,6,4,4,4,4,0,0,0,101AG6,118.12458,33.25,22.0,2000-02-10,124.02707,35.5,22.0,1999-07-01,16183.0,124.02707,35.5,22.0,1999-07-01,16183.0
10,Delhi,1,A,BSF,G,UR,9,7,7,7,7,0,0,0,101AG9,119.93285,35.75,17.75,2004-07-29,122.38213,37.75,22.25,2003-01-02,17520.0,122.38213,37.75,22.25,2003-01-02,17520.0
10,Delhi,1,B,CISF,G,EWS,0,1,1,1,1,0,0,0,101BG0,111.90934,37.75,12.25,2004-05-09,127.31295,40.0,17.5,2002-03-17,13124.0,127.31295,40.0,17.5,2002-03-17,13124.0
10,Delhi,1,B,CISF,G,SC,1,1,1,1,1,0,0,0,101BG1,121.08597,37.75,15.5,1999-07-14,133.64665,37.75,21.25,1999-04-05,6618.0,133.64665,37.75,21.25,1999-04-05,6618.0
10,Delhi,1,B,CISF,G,ST,2,1,1,1,0,1,0,0,101BG2,112.42111,35.5,12.5,1997-09-07,,,,,,,,,,
10,Delhi,1,B,CISF,G,ESM,3,1,1,1,0,1,0,0,101BG3,,,,,,,,,,,,,,
10,Delhi,1,B,CISF,G,OBC,6,3,3,3,3,0,0,0,101BG6,118.12458,33.25,22.0,2000-02-10,128.66841,37.75,25.5,2000-04-11,11707.0,128.66841,37.75,25.5,2000-04-11,11707.0
