"state_code","state","gender","post_code","force","area","category","category_code","vacancies","initial","current","allocated","left_vacancy","allocated_hc","allocated_hc_prev","key","min_marks_prev","min_marks_parta_prev","min_marks_partb_prev","min_marks_cand_dob_prev","min_marks","min_marks_parta","min_marks_partb","min_marks_cand_dob"
"1","Andaman & Nikobar","2","A","BSF","G","OBC","6",1,1,1,NULL,NULL,NULL,NULL,"12G6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1","Andaman & Nikobar","2","A","BSF","G","UR","9",2,2,2,NULL,NULL,NULL,NULL,"12G9","108.00705","33.5","11.5","2002-10-19",NULL,NULL,NULL,NULL
"1","Andaman & Nikobar","2","B","CISF","G","OBC","6",2,2,2,NULL,NULL,NULL,NULL,"12G6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1","Andaman & Nikobar","2","B","CISF","G","UR","9",1,1,1,NULL,NULL,NULL,NULL,"12G9","108.00705","33.5","11.5","2002-10-19",NULL,NULL,NULL,NULL
"1","Andaman & Nikobar","2","C","CRPF","G","OBC","6",1,1,1,NULL,NULL,NULL,NULL,"12G6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1","Andaman & Nikobar","2","C","CRPF","G","UR","9",1,1,1,NULL,NULL,NULL,NULL,"12G9","108.00705","33.5","11.5","2002-10-19",NULL,NULL,NULL,NULL
"1","Andaman & Nikobar","2","D","SSB","G","UR","9",1,1,1,NULL,NULL,NULL,NULL,"12G9","108.00705","33.5","11.5","2002-10-19",NULL,NULL,NULL,NULL
"10","Delhi","1","A","BSF","G","EWS","0",2,2,2,NULL,NULL,NULL,NULL,"101G0","111.90934","37.75","12.25","2004-05-09",NULL,NULL,NULL,NULL
"10","Delhi","1","A","BSF","G","SC","1",2,2,2,NULL,NULL,NULL,NULL,"101G1","121.08597","37.75","15.5","1999-07-14",NULL,NULL,NULL,NULL
"10","Delhi","1","A","BSF","G","ST","2",1,1,1,NULL,NULL,NULL,NULL,"101G2","112.42111","35.5","12.5","1997-09-07",NULL,NULL,NULL,NULL
"10","Delhi","1","A","BSF","G","ESM","3",2,2,2,NULL,NULL,NULL,NULL,"101G3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"10","Delhi","1","A","BSF","G","OBC","6",4,4,4,NULL,NULL,NULL,NULL,"101G6","118.12458","33.25","22","2000-02-10",NULL,NULL,NULL,NULL
"10","Delhi","1","A","BSF","G","UR","9",7,7,7,NULL,NULL,NULL,NULL,"101G9","119.93285","35.75","17.75","2004-07-29",NULL,NULL,NULL,NULL
"10","Delhi","1","B","CISF","G","EWS","0",1,1,1,NULL,NULL,NULL,NULL,"101G0","111.90934","37.75","12.25","2004-05-09",NULL,NULL,NULL,NULL
